col0 Designation "Thresholded By (cm^-3)" "Threshold Level (cm^-3)" "Skeleton Index" "Length (pc)" "Mass (Solar)" "NHTOT a1" "NHTOT sigma 1" "NHTOT a2" "NHTOT sigma 2" "NHTOT a" "NHTOT sigma" "NCO a" "NCO sigma" "NH2 a" "NH2 sigma" "NH1 a" "NH1 sigma" "NHTOT Max (cm^-3)" "NHTOT Median (cm^-3)" "NHTOT Mean (cm^-3)" "NCO Max (cm^-3)" "NCO Median (cm^-3)" "NCO Mean (cm^-3)" "NH2 Max (cm^-3)" "NH2 Median (cm^-3)" "NH2 Mean (cm^-3)" "NH1 Max (cm^-3)" "NH1 Median (cm^-3)" "NH1 Mean (cm^-3)" "CO Dark?" Molecular? Atomic? "Core Shifted?" "Core Thresholded?" "Thresholded Core (cm^-3)" "First 2 pc ignored?"
"" x1465y1405z1395 nht 35.0 12 90 10142 26.0 2.0 6.3 4.3 27.0 2.7 6e-10 1.2 0.68 2.3 25.0 1.2 140.0 18.0 29.0 7.1e-07 4.4e-11 1.5e-08 6.1 0.37 0.93 130.0 17.0 27.0 True False True False True "> 35" True
"" x1465y1405z1395 nht 35.0 15 17 1488 15.0 0.37 6.7 3.2 6.7 3.2 3.5e-12 2.3 1.3 2.9 4.4 2.3 51.0 15.0 18.0 6.3e-09 7.9e-10 1.1e-09 14.0 4.1 4.6 23.0 7.5 8.5 True True False False True "> 35" True
"" x1465y1405z1395 nht 35.0 17 76 9124 43.0 2.4 4.6 5.0 44.0 2.7 9.6e-09 1.2 2.2 2.5 37.0 1.2 130.0 25.0 30.0 7.4e-07 5.9e-10 1.5e-08 12.0 1.2 1.8 100.0 23.0 26.0 True False True False True "> 35" True
"" x1465y1405z1395 nht 35.0 18 260 28289 47.0 1.8 17.0 5.6 37.0 3.7 3.9e-09 1.7 1.4 3.2 32.0 1.7 250.0 14.0 27.0 3.6e-05 1.1e-10 4.1e-07 36.0 0.68 2.1 230.0 12.0 23.0 True False True False True "> 35" True
"" x1465y1405z1395 nht 35.0 19 27 3590 59.0 2.1 7.8 5.6 70.0 2.3 3.1e-09 1.9 2.2 1.9 65.0 1.9 48.0 12.0 13.0 1e-08 5.7e-12 4.3e-10 1.6 0.14 0.21 44.0 11.0 12.0 True False True False True "> 35" True
"" x1465y1405z1395 nht 35.0 20 34 2206 36.0 2.0 14.0 1.4 48.0 1.8 1.4e-09 1.8 8.3 1.7 31.0 1.8 89.0 11.0 22.0 1.3e-07 2.3e-11 1.2e-08 17.0 1.1 3.4 55.0 9.5 15.0 True False True False True "> 35" True
"" x1465y1405z1395 nht 35.0 21 81 5502 38.0 2.7 19.0 2.7 57.0 2.7 1.4e-09 2.3 2.4 2.3 51.0 2.3 90.0 8.3 13.0 9.5e-08 5.9e-12 2e-09 5.8 0.22 0.49 78.0 7.8 12.0 True False True False True "> 35" True
"" x1465y1405z1395 nht 35.0 22 104 11056 47.0 1.3 6.3 4.8 18.0 2.8 1.1e-05 0.52 19.0 0.97 12.0 0.52 45.0 5.4 9.5 4.7e-09 4.1e-12 2.3e-10 5.8 0.3 0.55 39.0 4.5 8.3 True False True False True "> 35" True
"" x1475y1390z1395 nht 35.0 0 46 6882 72.0 1.3 24.0 3.6 45.0 2.7 5.7e-06 0.58 1.8 1.5 41.0 0.58 330.0 21.0 49.0 0.012 6.6e-10 0.00043 66.0 1.7 4.9 330.0 18.0 39.0 True False True False True "> 35" True
"" x1475y1390z1395 nht 35.0 1 16 694 54.0 1.6 10.0 5.8 30.0 3.2 4.6e-09 0.77 0.47 1.4 30.0 0.77 33.0 16.0 14.0 2.6e-11 4.2e-12 7.1e-12 0.12 0.036 0.038 33.0 16.0 14.0 True False True False True "> 35" True
"" x1475y1390z1395 nht 35.0 2 101 19255 79.0 1.5 19.0 4.9 44.0 3.1 6.6e-07 1.0 12.0 2.3 24.0 1.0 300.0 19.0 46.0 6.2e-05 2e-09 2.6e-06 83.0 2.7 9.2 160.0 12.0 27.0 True True False False True "> 35" True
"" x1475y1390z1395 nht 35.0 3 45 2738 61.0 0.33 33.0 2.6 41.0 2.3 4.9e-08 2.1 9.3 1.9 24.0 2.1 25.0 9.0 9.9 2.3e-08 4.4e-12 8.1e-10 6.5 0.26 0.82 19.0 7.1 8.2 True False True False True "> 35" True
"" x1475y1390z1395 nht 35.0 4 313 75488 32.0 2.5 13.0 5.9 36.0 3.7 4.4e-07 1.1 7.2 3.3 17.0 1.1 210.0 12.0 21.0 0.00025 3.5e-10 1.9e-06 79.0 1.7 4.8 160.0 5.6 11.0 True True False False True "> 35" True
